trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
668,False,"{'a': 0.002, 'e': 0.26289514881581166}",20,0,16.47277762420496,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
669,False,"{'a': 0.002, 'e': 0.262369883958126}",30,2,-26.054711270413836,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
670,False,"{'a': 0.002, 'e': 0.261845668580326}",30,8,-10.856051805041611,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.26132250058554946}",20,11,17.12234432474557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.002, 'e': 0.26080037788112365}",20,11,-4.787746838765609,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.2602792983785571}",30,12,23.969625270722936,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.25975925999353117}",30,0,-89.87202585920723,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",1
675,False,"{'a': 0.002, 'e': 0.2592402606458915}",25,4,20.6212277817038,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
676,False,"{'a': 0.002, 'e': 0.2587222982596401}",30,24,10.258909575623893,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.002, 'e': 0.25820537076292666}",25,9,18.40091323268659,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
678,False,"{'a': 0.002, 'e': 0.2576894760880406}",30,10,10.632132948911373,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
679,False,"{'a': 0.002, 'e': 0.2571746121714024}",30,15,25.639813823655302,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.002, 'e': 0.2566607769535559}",35,0,-95.56175911273532,"{0: 29, 1: 0, 2: 3, 3: 1, 4: 2}",0
681,False,"{'a': 0.002, 'e': 0.2561479683791593}",20,6,17.38129241109658,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.002, 'e': 0.25563618439697783}",20,6,-48.96992472443036,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
683,False,"{'a': 0.002, 'e': 0.2551254229598748}",30,0,18.57391093467857,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
684,False,"{'a': 0.002, 'e': 0.2546156820248038}",20,1,30.620281202970403,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.002, 'e': 0.25410695955280027}",20,15,9.828868005777103,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.002, 'e': 0.25359925350897383}",30,23,16.104997914947983,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.002, 'e': 0.25309256186249957}",35,17,-5.694460375881926,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
688,False,"{'a': 0.002, 'e': 0.2525868825866102}",20,2,-24.814814842176535,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
689,False,"{'a': 0.002, 'e': 0.252082213658588}",25,20,8.070563195097051,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.002, 'e': 0.2515785530597565}",30,20,-23.69721168337218,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
691,False,"{'a': 0.002, 'e': 0.2510758987754727}",20,4,-52.54113339329777,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
692,False,"{'a': 0.002, 'e': 0.25057424879511875}",20,9,7.37658480343241,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
693,False,"{'a': 0.002, 'e': 0.2500736011120941}",20,6,-29.438352126275944,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
694,False,"{'a': 0.002, 'e': 0.2495739537238073}",20,14,11.10805094256558,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.002, 'e': 0.2490753046316682}",30,6,31.018763929341755,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
696,False,"{'a': 0.002, 'e': 0.2485776518410797}",20,0,-30.93324786194339,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
697,False,"{'a': 0.002, 'e': 0.24808099336143}",20,0,-39.38005698798602,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
698,False,"{'a': 0.002, 'e': 0.2475853272060845}",20,0,-21.84677100110373,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
699,False,"{'a': 0.002, 'e': 0.24709065139237799}",20,0,-35.98108665316277,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
700,False,"{'a': 0.002, 'e': 0.24659696394160646}",20,16,6.191239804936117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.002, 'e': 0.24610426287901951}",20,0,13.780888019145102,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
702,False,"{'a': 0.002, 'e': 0.2456125462338122}",20,8,8.79517888601774,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.002, 'e': 0.24512181203911734}",20,1,-35.69826952940469,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
